ID,UCID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Critical,Process Type,Application Type,Technology,CrossSector,CrossBorder,Uptake,Interaction,Data Scope 1,Data Scope 2,OSS,interOp I,"IoP Level 1
 Technical","IoP Level 2
Semantical","IoP Level 3
Legal","IoP Level 4
Organisational",EIF Principle 1,EIF Principle 2,AI Action 1,AI Action 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,Date-added,Date-updated
213,AIWT6-213,Bucharest airport Face recognition - Detection of wanted persons and unsafe situations, ,"A facial recognition system will be implemented in Bucharest Airport. The AI will be capable of both identifying wanted persons, terrorism subjects or others on the list of intelligence services as well as a solution which detects suspicious behaviour.",Local,Romania,RO,Bucharest Airport,Local Government,Public order and safety,Public order and safety n.e.c.,Implemented,2014,,Perception,Computer vision,Machine learning,,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,,,G2G,Dynamic Data,Location Data,,AI4IOP,No,Yes,Yes,No,Security and privacy,Administrative simplification,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.uti.eu.com/press-releases/uti-will-implement-face-recognition-and-intelligent-image-analysis-systems-with-otopeni-airport/,01/01/2020,
214,AIWT6-214,Metrici LPR cameras - Better license plate detection,https://www.metrici.ro/,An AI system used for analysing cameras on the most heavy traffic route of Romania has been installed for better license plate detection. ,Local,Romania,RO415,City of Rammicu-Valcea,Private sector,Public order and safety,Police Services,Implemented,2021,,Perception,Computer vision,Machine learning,,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,,,G2G,Dynamic Data,Location Data,,AI4IOP,Yes,No,No,Yes,Security and privacy,Administrative simplification,"Digitising
Automate",Detection ?,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://metrici.ro/cases/rm-valcea,01/01/2020,14/06/2021
215,AIWT6-215,Antonia - Automatic processing of requests of public services,https://www.romaniajournal.ro/society-people/antonia-the-first-virtual-public-servant-in-romania/,"The City Hall of Cluj has an AI system called Antonia, which handles the automatic processing of 64 types of forms for requesting public services. The also has a chatbot component so she can answer questions about how to fill the forms. In the second development stage of the AI-based technology, Antonia will become a hologram, this being the surprise-element for the next stage. This depends on how fast we will work out the technical aspects, so there is ""no time estimation for the complete implementation"" according o the local officials in Cluj-Napoca. The project is estimated to be completed within 30 months' period. Antonia has been launched in April 2018 and functions around the clock.",Local,Romania,RO11,Municipality of Cluj-Napoca,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2018,,Communication,Natural language processing,Machine learning,,,chatbot,,Public services and engagement,Engagement management,Artificial Intelligence,,,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,Yes,Administrative simplification,User-centricity,"Conversation
Support? interaction",,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.romaniajournal.ro/society-people/antonia-the-first-virtual-public-servant-in-romania/,01/01/2020,
220,AIWT6-220,Case Fiva (RPA) - Support the Financial supervisory Authority,https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161688/41_19_Leading%20the%20way%20into%20the%20age%20of%20artificial%20intelligence.pdf?sequence=4,"The Financial Supervisory Authority is an example of a government agency that uses  Artificial Intelligence. The Financial Supervisory Authority is a financial and insurance supervisory agency, which does not always have adequate resources for its tasks. Robotics   and Artificial Intelligence have eased the situation and their use has also led to a sharp   fall in the number of human errors. The Financial Supervisory Authority supervises the   operations of banks, insurance and pension insurance companies, other actors in the   insurance sector, investment firms, fund management companies and the Helsinki Stock   Exchange. The supervised entities provide 95% of the funding for the operations and the   remaining five per cent comes from the Bank of Finland.",National,Finland,FI,The Financial Supervisory Authority,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2018,,Planning,Automated reasoning,Planning and Scheduling,,,Risk Assessment,,Internal management,Internal support processes,Artificial Intelligence,,,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,Yes,Yes,Assessment of Effectiveness and Efficiency,Reusability,Decision Support,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"(Finland_Leading the way into the age of Artificial Intelligence, P. 44)",28/03/2021,
221,AIWT6-221,Semantic analyser - Document analyser for the public administration, ,"Finding relations among text documents (in slovenian language) based on relations among terms used. In development. There is a working prototype. A search engine to find documents with similar content, support to data dictionaries. In development.",National,Slovenia,SI,Ministry of Public Administration,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2021,,Communication,Natural language processing,Machine learning,,,text analysis,,Internal management,Internal support processes,Artificial Intelligence,,,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,No,Administrative simplification,Reusability,"Conversation
Support? interaction",Detection ?,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://nio.gov.si/nio/asset/semanticni+analizator+besedil,01/01/2020,
226,AIWT6-226,Optimum - decision making for efficient integration of transport modes,http://www.optimumproject.eu/about/pilot-cases/pilot-case-1/motivation.html,"The main aim of the three urban pilot studies is to proactively facilitate decision making for efficient integration of transport modes.This will be achieved by implementing a smart multimodal transit concept, which will lead to improved quality, accessibility and utilisation of interconnected transport systems. Thus a complex model of the current traffic conditions, and a short-term prediction of these conditions, will be realised on top of advanced real-time predictive analytics and a multitude of transport information.",Across Countries,Belgium,BE,INTRASOFT International SA,Private sector,Economic affairs,Transport,Pilot,2015,2018,Planning,Automated reasoning,Knowledge representation,,,,,Internal management,Internal support processes,Artificial Intelligence,,,,G2G,Historical Data,Location Data,,AI4IOP,No,Yes,Yes,Yes,Assessment of Effectiveness and Efficiency,Administrative simplification,Decision Support,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://ec.europa.eu/inea/en/horizon-2020/projects/h2020-transport/intelligent-transport-systems/optimum,01/01/2020,
227,AIWT6-227,060 Service - Answer FAQ from citizens and burocratic terms into informal language,https://joinup.ec.europa.eu/sites/default/files/inline-files/08-2%20Salvador_Estevan_Martinez%20and%20Doaa_Samy_0.pdf,"This is a service using Natural Language Processing (NLP) to answer frequently asked questions from citizens and to translate formal public administration terms into more informal terms for citizens. The 060 line is introduced in 2006 as being a central contact point for Spanish citizens with questions about state services, with a certain objective, being the center point of attention for the Spanish citizens, in order to provide information regarding the Central Administration Services and to connect the different public services through one short number: 060",National,Spain,ES,Ministry of Territorial Policy and Public Function,Central-Government,General public services,General services.,Not in use anymore,2019,,Communication,Natural language processing,Machine learning,,,chatbot,,Public services and engagement,Service integration (various),Artificial Intelligence,,,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,Yes,Yes,Administrative simplification,User-centricity,"Conversation
Support? interaction",Extraction?,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://joinup.ec.europa.eu/sites/default/files/inline-files/08-2%20Salvador_Estevan_Martinez%20and%20Doaa_Samy_0.pdf,01/01/2020,
230,AIWT6-230,Chatbot  - Boost relations with citizens,https://www.youtube.com/watch?v=v5QvZWNy-5M&t=6s,"The City Council of Sant Just Desvern, a Catalan municipality in the Baix Llobregat region with 17,200 inhabitants, has presented a chatbot with which this administration aims to streamline its processes and boost relations with its citizens. The first two available chatbots will take care of:
- the previous appointments of the City Council, so that waits will be reduced
- the management of the registration flyers",Across Countries,Spain,ES,Municipality of Sant Just Desvern,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2018,,Communication,Natural language processing,Machine learning,,,chatbot,,Public services and engagement,Engagement management,Artificial Intelligence,,,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,Yes,Administrative simplification,User-centricity,"Conversation
Support? interaction",,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.observatorio-empresas.vodafone.es/articulos/administraciones-publicas/chatbot-atencion-ciudadano-sant-just-desvern-perpinya/,01/01/2020,18/06/2021
232,AIWT6-232,VeriPol - Detect false police reports,"https://eticasfoundation.org/veripol-spotting-false-complaints-made-to-the-police/
https://www.sciencedirect.com/science/article/pii/S095070511830128X","The filing of fake police reports is quite common in Spain, especially for low level crimes and it can bring significant consequences for individuals, wasting valuable police resources and is often used in combination with other fraudulent behaviour. Spanish national police have adopted the VeriPol. The system was designed to be integrated into the existing Spanish National Police information system called SIDENPOL, allowing for easier use and integration into existing work practices. The database of police reports was made available for the researchers in order to train the AI system on. For this, 1122 reports were used, including 534 true and 588 false reports. VeriPol exploits a combination of Natural Language Processing and machine learning classification algorithms, capable of estimating the probability of false police reports with significant accuracy. In addition to that, the system also enables insights into the differences between false and true police reports.",National,Spain,ES,Spanish Police,Central-Government,Public order and safety,Police Services,Implemented,2017,2019,Communication,Natural language processing,Machine learning,Automated reasoning,,text analysis,,Enforcement,Smart Recognition processes,Artificial Intelligence,,,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,No,Yes,Assessment of Effectiveness and Efficiency,Security and privacy,Extraction?,Classification,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://www.sciencedirect.com/science/article/abs/pii/S095070511830128X,01/01/2020,
236,AIWT6-236,Madrid - AI for saving lives of Psychiatric patients ,https://www.youtube.com/watch?v=NIDNmwYMjAE,"A field trial using AI was conducted with the objective to protect psychiatric patients from suicide or other health risks. To support doctors in making quick diagnostic decisions, San Carlos Hospital in Madrid, Fujitsu Laboratories of Europe, and Fujitsu Spain performed more than six months of AI field trials. These trials resulted in the development of the Advanced Clinical Research Information System.In this system, the medical histories of over 36,000 patients, completely anonymized for privacy reasons, and a large volume of open data, including over a million medical papers, are combined in a database. An AI engine analyzes the database and shows possible health risks for a patient.",National,Spain,ES,San Carlos Hospital,Central-Government,Health,Hospital services.,Pilot,2017,,Integration and Interaction,Automated reasoning,Knowledge representation,,,,,Internal management,Internal primary processes,Artificial Intelligence,,,,G2C,Historical Data,Historical Data,,AI4IOP,No,Yes,Yes,Yes,Preservation of information,Inclusion and accessibility,Decision Support,,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://journal.jp.fujitsu.com/en/2016/12/09/01/,01/01/2020,
237,AIWT6-237,SIMPATICO Platform for PS iN Spain, ,"The SIMPATICO Platform is a software platform that uses advanced technical solutions and applies them to existing PA systems to simplify the interaction of citizens and companies with a wide range of public services. The value offered by the SIMPATICO Platform is the unique opportunities of delivering customer-centric, personalized services and of triggering a continuous optimization of services and processes, thus overcoming the existing barriers in the adoption of e-services. Used in Galicia (Spain). ",Across Countries,Spain,ES,Xunta de Galicia,Governmental,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2016,,Learning,Machine learning,Optimisation,,,,,Public services and engagement,Service integration (various),Artificial Intelligence,,,,G2C,Dynamic Data,Streaming Data,https://github.com/SIMPATICOProject,AI4IOP,No,Yes,No,Yes,Administrative simplification,User-centricity,"Conversation
Support? interaction",,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://simpatico-project.com/ ,01/01/2020,
241,AIWT6-241,VI-DAS H2020," https://www.itas.kit.edu/english/projects_coen16_vi-das.php#:~:text=VI%2DDAS%20advances%20in%20computer,and%20ubiquitous%20sensors%2C%20primarily%20cameras.","VI-DAS advances in computer vision and machine learning will introduce non-invasive, vision-based sensing capabilities to vehicles and enable contextual driver behaviour modelling. The technologies will be based on inexpensive and ubiquitous sensors, primarily cameras. Predictions on outcomes in a scene will be created to determine the best reaction to feed to a personalised HMI component that proposes optimal behaviour for safety, efficiency and comfort. VI-DAS will employ a cloud platform to improve ADAS sensor and algorithm design and to store and analyse data at a large scale, thus enabling the exploitation of vehicle connectivity and cooperative systems. VI-DAS will address human error analysis by the study of real accidents in order to understand patterns and consequences as an input to the technologies. VI-DAS will also address legal, liability and emerging ethical aspects because with such technology comes new risks, and justifiable public concern. ",Across Countries,Spain,ES,Vicomtech,Private sector,Economic affairs,"General economic, commercial and labour affair",Pilot,2016,2019,Perception,Computer vision,Machine learning,,,,,Public services and engagement,Service integration (various),Artificial Intelligence,No,No,,G2B,Dynamic Data,Dynamic Data,,AI4IOP,Yes,No,No,No,Security and privacy,User-centricity,"Structuring
Transform",Extraction?,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,http://www.vi-das.eu/about#inanutshell,01/01/2020,
242,AIWT6-242,Corpus Viewer," http://journal.sepln.org/sepln/ojs/ojs/index.php/pln/article/view/6117,
https://rua.ua.es/dspace/bitstream/10045/96627/1/PLN_63_28.pdf","The Corpus Viewer platform is based on natural language processing (PLN), machine learning (ML) and machine translation (MT) techniques to analyze structured metadata and unstructured textual data in large corpus of textual documents . The platform allows decision-makers and policy implementers the possibility to analyze the R + D + i information space (mainly patents, scientific publications and public aid) for the implementation of policies based on evidence and knowledge. It is based,modeling topics and graph analysis.  Corpus Viewer development began in 2016 and continues to advance thanks to the collaboration of various university research groups and companies and it is currently used by 3 public administrations: SEAD (Ministry of Economy), the Spanish Foundation for Science and Technology (FECYT) and the Secretary of State for Universities and Research, Development and Innovation (SEUIDI) ( Ministry of Science).",National,Spain,ES,Ministero Economia Y Impresa,Central-Government,Health,Public health services.,Pilot,2019,,Learning,Machine learning,Natural language processing,Knowledge representation,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,,,,G2C,Dynamic Data,Streaming Data,,AI4IOP,Yes,Yes,No,No,Multilingualism,Administrative simplification,"Structuring
Transform",Extraction?,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.plantl.gob.es/tecnologias-lenguaje/actividades/plataformas/Documents/corpus-viewer/manual-corpus-viewer-en.pdf,01/01/2020,
246,AIWT6-246,AIDA - Interpreting detailed plan provisions,https://www.smartbuilt.se/projekt/innovationer-och-nya-tillaempningar/aida/,"In order to faster digitize Sweden's existing detail plans and get closer to a national plan database, the project will develop and implement an Artificial Intelligence in the work of interpreting detail plan regulations according to the National Board of Housing, Building and Planning's standard, faster digitize Sweden's existing detail plans and Creation of a national database. The goal is to reduce the digitization process by 20%, which would, taking into account all the detailed plans to be digitized, save several years of working time. In addition, both direct and indirect effects would contribute to Smart Built Environment's goals.",National,Sweden,SE,Örebro Municipality ,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2020,,Communication,Natural language processing,Machine learning,,,text analysis,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,No,No,,G2B,Historical Data,Historical Data,,AI4IOP,Yes,Yes,No,No,Administrative simplification,Preservation of information,"Digitising
Automate",,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.smartbuilt.se/projekt/innovationer-och-nya-tillaempningar/aida/,01/01/2020,18/06/2021
249,AIWT6-249,Swedish Land Registry (SLR) - Fostering efficiency when dealing with land registry requests, ,"The Swedish Land Registry (SLR) needed to increase their efficiency when dealing with land registry requests. They now use AI to read and modernise documents. Many old, handwritten documents cannot be digitised with ease as it is hard to read the tekst. AI assists in reading these documents. ",National,Sweden,SE,Swedish Land Registry ,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Communication,Natural language processing,Computer vision,,,text analysis,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2B,Dynamic Data,Location Data,,AI4IOP,Yes,Yes,No,No,Administrative simplification,Preservation of information,"Digitising
Automate","Structuring
Transform",Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.gov.uk/government/case-studies/natural-language-processing-for-land-registry-documentation-in-sweden,01/01/2020,18/06/2021
250,AIWT6-250,SKOSA - Interpreting medical information, ,"The project, called Skosa, builds a general platform with a digital knowledge base with the help of various business experts such as doctors and other experts. It can then help administrators to analyze, structure and interpret medical information and use it in needs assessments.",National,Sweden,SE,Swedish Social Insurance Agency,Central-Government,Health,Hospital services.,Implemented,2020,,Reasoning,Knowledge representation,Machine learning,,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,Yes,Reusability,Subsidiarity and proportionality,Decision Support,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://computersweden.idg.se/2.2683/1.720144/forsakringskassan-ai-stod,01/01/2020,18/06/2021
252,AIWT6-252,Skatti - Answering system about population registration and income tax return,https://www.skatteetaten.no/en/person/taxes/tax-return/find-item/,"Skatti answers general questions about population registration and the income tax return for private individuals. Skatti does not give answers to questions about, for example, ongoing or closed cases, or get help with information from the Swedish Tax Agency's register.",National,Norway,NO,Swedish Tax Agency (Skatteverket),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Not in use anymore,2017,,Communication,Natural language processing,Searching,,,Q&A,,Public services and engagement,Engagement management,Artificial Intelligence,,,,G2C,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,Yes,Administrative simplification,Inclusion and accessibility,"Conversation
Support? interaction",,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.skatteverket.se/omoss/kontaktaoss/chattamedvardigitalamedarbetare.4.2cf1b5cd163796a5c8b403b.html,01/01/2020,15/06/2021
259,AIWT6-259,BFS - Plausibility check on quality and reliability of administrative data,https://www.experimental.bfs.admin.ch/expstat/en/home/innovation-data-science/plausi.html,"This project intends to extend and accelerate the plausibility checks in the Federal Office for Statistics (BFS) using machine learning algorithms while increasing the data quality. Data that appears to be either clearly wrong or at least questionable will be sent back to the data providers with a request for correction or comment. Until now, such plausibility checks were mostly carried out in two different ways: either by manual controls or by automated procedures using limit values ??and logical tests. This process of mutual plausi checks is very labor intensive. Machine learning can help to carry out the controls more quickly and more precisely.",National,Switzerland,CH,Federal Office for Statistics ,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2019,,Learning,Machine learning,,,,,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,No,Reusability,Subsidiarity and proportionality,Detection ?,Decision Support,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://www.experimental.bfs.admin.ch/expstat/de/home/innovative-datenwissenschaft/plausi.html,01/01/2020,18/06/2021
260,AIWT6-260,NOGAuto - Assign or control codes to companies for economic activities , ,"In 2017, the Swiss Federal Statistical Office (FSO) released its data innovation strategy to ensure to keep up with time and technology. NOGAuto is one of the main five projects, which has been retained in line with FSO’s data innovation strategy with the goal to augment and/or complement the existing basic official statistical production at the FSO.
This project is realised to automate the coding of the economic activity of enterprises using “supervised machine learning” methods applied to already available data within the FSO (e.g. data from surveys, descriptions in the commercial register, explanatory notes for classifications) to support coding.",National,Switzerland,CH,Federal Office for Statistics,Central-Government,Economic affairs,R&D economic affairs,Implemented,2017,,Learning,Machine learning,Automated reasoning,,,,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2B,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,Administrative simplification,Assessment of Effectiveness and Efficiency,Classification,,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.experimental.bfs.admin.ch/expstat/en/home/innovation-data-science/nogauto.html,01/01/2020,
272,AIWT6-272,"HART - Assessment risk tool, predictive policing based on person data",https://www.tandfonline.com/doi/full/10.1080/13600834.2018.1458455,"The Harm Assessment Risk Tool (HART) puts information on a person's past offending history, age, postcode and other background characteristics through algorithms that then classify them as a low, medium or high risk. It is used by the police of Durham and was one of the first reported cases of predictive policing used in the police. ",National,United Kingdom,UK,Durham city police,Local Government,Public order and safety,Police Services,Pilot,2018,,Reasoning,Automated reasoning,Knowledge representation,,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,,,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,No,Assessment of Effectiveness and Efficiency,Administrative simplification,Decision Support,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://www.tandfonline.com/doi/pdf/10.1080/13600834.2018.1458455,01/01/2020,
292,AIWT6-292,Posting of invoices - Robot to propose the correct posting, ,"Customers of The Norwegian Government Agency for Financial Management (DFØ) spend considerable time and resources on posting incoming invoices due to uncertainty about the correct posting. In some cases this can lead to invoices being paid after the due date and can create extra costs for the agency in the form of interest and charges. DFØ is currently testing solutions from two companies, one of which involves an accounting robot that uses AI to propose the correct posting. The model is trained using historical data before making a prediction of the posting based on a combination of historical data and information obtained from the actual invoice.

",National,Norway,NO,Norwegian Government Agency for Financial Management,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Learning,Machine learning,Automated reasoning,,,,,Internal management,Internal support processes,Artificial Intelligence,,,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,Yes,Administrative simplification,User-centricity,"Conversation
Support? interaction",,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.regjeringen.no/en/dokumenter/nasjonal-strategi-for-kunstig-intelligens/id2685594/?ch=6#id0043,01/01/2020,21/06/2021
294,AIWT6-294,ARC-D - Automatic Road Condition Detection,https://palaimon.io/blog/arcd,"Currently there is no automated collection of condition data for all federal motorways.  An up-to-date database and an automated assessment of the quality of individual stretches of motorway would be important, e.g. in order to initiate suitable maintenance measures at an early stage and thus prevent cost-intensive long-term damage.  A system is being developed, on the basis of image data previously classified by experts, that enables video data to be (partially) (partially) automated evaluation of video data in order to classify roads in terms of their condition. In the long term, other sensor data will also be incorporated.",National,Germany,DE,"BMVI, Autobahn GmbH of the Federal Government",Central-Government,Economic affairs,Transport,In development,2020,,Perception,Computer vision,Machine learning,,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,,,G2C,Dynamic Data,Location Data,,AI4IOP,No,Yes,No,No,Administrative simplification,Assessment of Effectiveness and Efficiency,Classification,Detection ?,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,KI im Behördeneinsatz: Erfahrungen und Empfehlungen https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,20/03/2021,21/06/2021
296,AIWT6-296,Study certificates - Automatic recognition for applying for child benefit,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,"To apply for child benefit, the current certificate of study of the child in question must be submitted twice a year. This results in a high volume of documents to be checked by hand, especially since the German universities could not agree on a uniform form.The client uploads the certificate of study to an appropriate website. The text of the certificate of study is extracted with OCR (Optical Character Recognition) and transferred to the system for classification. Four issues are checked:
-Is it a certificate of study (yes/no) and with what probability (score)?
probability (score)?
-Is it the right child?
-Is it the correct validity period/semester?
-Is it a known German university?
The result of the classification is displayed to the employees in the specialist procedure of the family benefits office. At the same time, the result of the check procedure ""Studienbescheinigung ja /nein"" (certificate of study yes /no) is indicated. This must then be actively accepted by the employee. The training data currently consists of 60,000 study certificates that are semi-automatically annotated and
annotated and then used for training. Using a specially developed algorithm, the personal data is anonymised before classification and can therefore also be used as training data. and can therefore also be used as training data. The classification of the study certificate is carried out by: Naive Base/Support Vector Machine / Logistic Regression. To NLP (Natural Language Processing), Named Entity Recognition is used for data extraction.",National,Germany,DE,Bundesagentur für Arbeit,Central-Government,Social protection,Family and children.,Pilot,2020,,Communication,Natural language processing,Knowledge representation,,,text analysis,,Adjudication,Taking decisions on benefits  ,Artificial Intelligence,,,,G2G,Dynamic Data,Streaming Data,,AI4IOP,Yes,Yes,Yes,Yes,User-centricity,Administrative simplification,Classification,"Digitising
Automate",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,x,,Open government capabilities,x,,,KI im Behördeneinsatz: Erfahrungen und Empfehlungen https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,20/03/2021,21/06/2021
297,AIWT6-297,Trade statistics - Classification system that automatically new data points as relevant,https://www.researchgate.net/publication/329945338_Machine_Learning_in_Official_Statistics,"The starting point is a classification problem: In order to decide whether a data point (e.g. a craft enterprise) is to be included in a statistic, it must be classified as relevant. (e.g. a craft enterprise) is included in a statistic, it must be classified as relevant or not. or not relevant. Up to now, this has been done manually. However, this is time-consuming and is also prone to errors. Furthermore, there are only scarce personnel capacities. On the basis of previously determined classification patterns for units (information from business registers), a classification system is trained that automatically classifies new automatically classifies new data points as relevant or not. Case handlers are given the same time window as before to process the now pre-sorted cases. The classified data points (craft enterprises relevant/not relevant for the statistics). statistics)",National,Germany,DE,Statistisches Bundesamt,Central-Government,General public services,General services.,Pilot,2018,,Learning,Machine learning,Automated reasoning,,,,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,No,No,Preservation of information,Administrative simplification,Classification,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,x,,,,FALSE,,,,KI im Behördeneinsatz: Erfahrungen und Empfehlungen https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,20/03/2021,14/06/2021
