PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),Geographical coverage (NUTS 2021),Responsible Organisation,Responsible Organisation category,COFOG Level I,COFOG Level II,Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Technology,Interaction,Improved Public Service,Personalised Services,Public (citizen)-centred services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Date-updated
PSTW-498,AI applied to diabetes for improvement in the quality of patient care and cost rationalization,,Data Science applied to diabetes for continuous improvement in the quality of patient care and cost rationalization.,National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,Health,Public health services.,In development,2019,2021,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2G,,,,,,,x,,,x,x,,,,,,,,,Learning,Machine learning,Optimisation,,,,21/11/2023
PSTW-499,Audit +: CHBV artificial intelligence engine and business intelligence system,https://cintesis.eu/en/portfolio-items/audit-2/,"Audit + is a project focused on an artificial intelligence engine and business intelligence system of the Hospital Center of Baixo Vouga (HCBV), leader of the project, in partnership with the Faculty of Medicine of the University of Porto (FMUP) and CINTESIS.",National,Portugal,PT,Hospital Center of Baixo Vouga (HCBV),Central-Government,Health,Hospital services.,Pilot,2020,2021,Enforcement,Improving Cybersecurity ,No,No,Artificial Intelligence,G2G,,,,,,,x,,,x,,,,,,,,,https://cintesis.eu/en/portfolio-items/audit-2/,Learning,Machine learning,Knowledge representation,,,,21/11/2023
PSTW-500,Inpatient AI Model Investigation for Procedure and Diagnostic Coding (CliKode),https://cintesis.eu/en/portfolio-items/clikode-2/#,"The project’s objectives are the (1) automatic generation of diagnostics and procedures of the ICD10 (International Classification of Diseases) classification system, based on clinical texts; (2) ensure that the coding process remains up to date over time; (3) increase the quality of coding, i.e., increase the average number of coded procedures and diagnoses; (4) reduce the monitoring structure (time and number of activities carried out) dedicated to the codification process, with a high impact on the number of human resources dedicated to the process in question.",National,Portugal,PT,"University Hospital Center of São João, EPE (UHCSJ)",Academic-Research,Health,Hospital services.,Pilot,2020,2021,Internal management,Internal support processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,,,,,,,,https://cintesis.eu/en/portfolio-items/clikode-2/#,Learning,Machine learning,Planning and Scheduling,,,,21/11/2023
PSTW-501,IPOSCORE - Predict complications from surgical treatment and prognosis definition in cancer patients,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,"A knowledge discovery system will integrate powerful data mining algorithms to unravel potentially relevant links between patient profiles and clinical data, and predictive models for the risk of complications after surgery in cancer patients. Disease diagnostic and prognostic markers, disease progression rates, and patient profiles, were tackled.",National,Portugal,PT,Instituto de Engenharia Mecânica,Academic-Research,Health,Hospital services.,Pilot,2019,2022,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,,x,,,x,,,,,,,,,,,,,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,Planning,Planning and Scheduling,Machine learning,,,,21/11/2023
PSTW-502,LAIfeBlood - Artificial Intelligence for Blood Management,https://www.lasige.pt/project/laifeblood,"The Instituto Português do Sangue e da Transplantação (IPST) is a public institute of the Ministry of Health and the recognized authority for the collection and regulation of blood donation and transplantation at the national level. Operational productivity of IPST is crucial for the blood supply chain in Portugal since it monitors the quality and safety of donation, procurement, processing, storage, preservation and distribution of human blood, blood components, organs, tissues and human origin cells. The goal of LAIfeBlood project is to provide IPST with new tools to improve the efficiency of blood supply operations in Portugal. LAIfeBlood project is particularly focused on: (1) extracting temporal and geographical patterns from historical collection and transfusion data; (2) developing predictive models for the expected collections and transfusions in different temporal and geographic areas; and (3) developing software tools to optimize the planning of collections at the national level according to the availability of IPST teams and resources and collection events. LAIfeBlood project tackles an important societal challenge of maximizing blood services effectiveness while minimizing wastage of an increasingly scarce resource and optimizing the efficiency of blood supply operations. We expect our results to be used to derive implementable policies at IPST to plan collections and manage the daily inventory rebalancing problem, as well as contributing to the development in the field of optimization and dynamic supply chain management.",National,Portugal,PT,Instituto Português do Sangue e da Transplantação (IPST),Central-Government,Health,Public health services.,Pilot,2020,2023,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2G,,,,,,,x,x,,x,,,,,,,,,https://www.lasige.pt/project/laifeblood,Learning,Machine learning,Optimisation,Planning and Scheduling,,,21/11/2023
PSTW-503,iLU (Smart e-Counter) - city mobility optimization,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,"iLU project aims to: 1) consolidate the multiplicity of data sources on city mobility stored in the Plataforma de Gestão Inteligente de Lisboa (PGIL) and guarantee its real-time updatability; 2) discover actionable spatiotemporal patterns of mobility from such heterogeneous data sources, articularly non-trivial correlations between road traffic and situational context data; 3) anticipate traffic congestion using advanced and integrative predictive models; 4) real-time support of mobility decisions through the use of deep reinforcement learning to positively condition the city traffic by, for instance, controlling traffic lights and road message panels.",National,Portugal,PT,Universidade de Évora,Academic-Research,Public order and safety,R&D public order and safety.,Pilot,2019,2021,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2G,,,,,,,x,x,,x,x,,,,,,,,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,Reasoning,Automated reasoning,Optimisation,,,,21/11/2023
PSTW-504,"Modelling, Prediction and Decision in the Context of Jurisprudence",https://orbi.uliege.be/bitstream/2268/252237/1/DS0220605ENN.en.pdf,"This pilot project will use past court decisions to assist magistrates when receiving inquiries or documents from lawyers. It will enable faster conclusions by magistrates, thus enabling faster justice for citizens.",National,Portugal,PT,Ministry of Justice ,Central-Government,Public order and safety,Law courts,Pilot,2020,,Internal management,Internal primary processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,x,,,,,,,,,https://orbi.uliege.be/bitstream/2268/252237/1/DS0220605ENN.en.pdf,Planning,Planning and Scheduling,Machine learning,,,,21/11/2023
PSTW-505,SIAP - Artificial Intelligence System for detection and warning of risks on Heritage,https://alentejo.sulinformacao.pt/2021/09/drc-alentejo-e-laboratorio-hercules-organizam-palestra-sobre-sistema-de-inteligencia-artificial-para-o-patrimonio/,"The Project SIAP - Artificial Intelligence System for the detection and alert of risks on Heritage aims ""the use of artificial intelligence tools for data processing to increase the effectiveness of heritage supervision services and optimize intervention strategies, through sensorization and monitoring of historical structures, enabling the early detection of potential risks contributing to increased security and sign reduction costs of intervention and maintenance'.",National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,"Recreation, culture and religion",Cultural services.,In development,2019,2021,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2G,,,,,,,x,x,,x,x,,,,,,,,https://alentejo.sulinformacao.pt/2021/09/drc-alentejo-e-laboratorio-hercules-organizam-palestra-sobre-sistema-de-inteligencia-artificial-para-o-patrimonio/,Learning,Machine learning,Planning and Scheduling,,,,21/11/2023
PSTW-506,Decoding the Legislation,https://oecd-opsi.org/innovations/a-applied-to-the-decoding-of-law/,"The Project ""Decoding the Legislation"" intended to develop Artificial Intelligence tools for facilitating consultation by citizens. Repositories were implemented with data sources and metadata from the Diário da República Eletrónico (DRE) and, using natural language processing, the legal attributes are transformed into code language, and a web application was developed that allows intelligent queries to a given Law. The case studies chosen to test the AI tools are the Consumer Rights Legislation and the Retirement Statute. A proof of concept was carried out in which the DRE has an intelligent search mechanism in which Citizens can ask questions about these sets of legislation and get answers automatically.",National,Portugal,PT,Portuguese government,Central-Government,Public order and safety,Law courts,Pilot,2022,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,x,x,x,,,,,,,,,x,x,,,https://oecd-opsi.org/innovations/a-applied-to-the-decoding-of-law/,Communication,Natural Language Processing,Machine learning,,,text analysis,21/11/2023
PSTW-507,IRIS – Application of Artificial Intelligence Techniques in the Supreme Court of Justice,https://www.inesc-id.pt/projects/PR07005/,"The objective of project IRIS is twofold: on the one hand, it focus on the development of automatic summarization approaches for court decisions; on the other hand, the project aims to create a suitable representation able to be browsed in a way that is helpful in the decision process. The summarization approaches should be capable of generating technical summaries, important as an instrument for the study, processing, and dissemination of court decisions, and documents that are understandable by non-technical people. The development of a browsable representation that captures the key elements of judicial proceedings will ease the complex task of analysing these type of documents, augmenting the support for the decision process.",National,Portugal,PT,Supremo Tribunal de Justiça,Central-Government,Public order and safety,Law courts,Pilot,2020,2023,Internal management,Internal support processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,x,,,,,,,,,https://www.inesc-id.pt/projects/PR07005/,Communication,Natural Language Processing,Machine learning,,,text analysis,21/11/2023
PSTW-508,BALCAT – Project on ballistics analysis,https://www.ama.gov.pt/documents/24077/231757/7.+Projeto+Balcat+a+Intelig%C3%AAncia+Artificial+ao+servi%C3%A7o+da+Pol%C3%ADcia+Cient%C3%ADfica.pdf/e6bacd04-5c51-48d5-8a28-9b108614e05e,"This project will aim to create a database for ballistics forensic analysis. In the case of a serious crime, collected evidence (i.e.information about the weapon’s owner) is essential for the investigation. A proper database for identifying the owner and other information based on the weapon’s registration will be easily accessible to police authorities. Thanks to the tool they would be able to access the information and the analysis almost immediately",National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,Public order and safety,Law courts,In development,2019,2021,Internal management,Internal support processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,x,,,,,,,,, ,Learning,Machine learning,Knowledge representation,,,,21/11/2023
PSTW-509,MEData - AI tools to define a strategy for predicting the behavior of Measurement Instruments,https://www.ama.gov.pt/web/agencia-para-a-modernizacao-administrativa/mais-ap,Development of Artificial Intelligence tools to define a strategy for predicting the behavior of Measurement Instruments - MEData.,National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,General public services,General services.,In development,2019,2021,Internal management,Internal support processes,No,No,Artificial Intelligence,G2B,x,,,,x,,,,,,,,,,,,,,,Planning,Planning and Scheduling,Knowledge representation,,,,21/11/2023
PSTW-510,Artificial Intelligence Prototype-SAF,https://www.ama.gov.pt/web/agencia-para-a-modernizacao-administrativa/mais-ap,Artificial Intelligence Prototype-SAF,National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,General public services,General services.,Pilot,2019,2019,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,G2G,,,,,,,x,,x,x,x,,,,,,,,,Learning,Machine learning,AI Services,,,,22/11/2023
PSTW-511,PredictERPgDoc - Integration of ERP and IPB's docs management system for predictive decision making,https://si.a3es.pt/sia3es/doc/RetrieveDocument/document?docHASH=4ICttRPiklY%3D,PredictERPgDoc - Integration of ERP and IPB's document management system for predictive decision making.,National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,General public services,General services.,Pilot,2019,2020,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,G2G,,,,,,,x,,,x,x,,,,,,,,,Reasoning,Automated reasoning,Planning and Scheduling,,,,22/11/2023
PSTW-512,GeADAPTalks – Intel service,https://www.simplex.gov.pt/app/files/13c429b1b502e3899671afb1586c63c7.pdf,Application of artificial intelligence tools to improve and always make available service in its various aspects for participants in evaluation processes.,National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,Economic affairs,"General economic, commercial and labour affair",Pilot,2019,2021,Public services and engagement,Engagement management,No,No,Artificial Intelligence,G2C,x,,,,x,,,,,,,,,,,,,,,Communication,Natural Language Processing,Machine learning,Audio processing,,speech recognition,22/11/2023
PSTW-513,PAGIRAA - Analytical Platform for the Intelligent Management of Water Supply Networks,https://www.adnorte.pt/pt/comunicacao/noticias/?id=69&idn=534,PAGIRAA - Analytical Platform for the Intelligent Management of Water Supply Networks,National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,Housing and community amenities,Water supply.,Implemented,2019,2020,"Analysis, monitoring and regulatory research",Monitoring policy implementation,No,No,Artificial Intelligence,G2B,x,,,,x,,,,,,,,,,,,,,,Reasoning,Automated reasoning,Optimisation,,,,22/11/2023
PSTW-514,LAB BUPi - Creation of the Single Counter Laboratory Simplified Cadastral Information System,https://bupi.gov.pt/en/pilot-project/,"The reform shall consist of a pilot project for the creation of a simplified national cadastral information system which shall identify the land structure and land ownership of rural territories, the entry into operation of the Land Cover Monitoring System (SMOS) and the development of the BUPi (Digital Land Registry) platform, a physical and virtual counter with geo-referenced information on properties, that shall aggregate the information necessary for their registration and shall facilitate citizens’ interaction with the public administration within the scope of the land register. The reform also sets up the necessary legal framework to operationalise Investment RE-C08-i02: Rural property registry and Land Cover Monitoring System .",National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,Housing and community amenities,Housing development.,Pilot,2019,2020,Internal management,Internal primary processes,No,No,Artificial Intelligence,G2C,x,,x,,x,,,,,,,,,,x,x,,,,Communication,Natural Language Processing,Planning and Scheduling,,,text analysis,22/11/2023
PSTW-515,MOPREVIS - Modeling and prediction of traffic accidents in the district of Setúbal,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,"This project's aim was the creation of an information system about the accidents occurred in the district of Setúbal, combining several sources of information: digital platform (storage solution, large-scale data processing and management with distributed architecture), data acquisition module (module for extracting information from accident documents with automatic processing techniques of natural language and artificial intelligence and interface module for other systems, namely automatic data acquisition on traffic intensity in adjacent streets and climatic data) and module for information recover. The system should classify sites with high number of accidents (hotspots), identify the determinants factors that potentiate the occurrence of accidents and their severity, draw the profile of the individuals involved, comparing it by type (collision, trampling or scraping) and construct redictive models for the number and severity of accidents, as well as for the most likely places for its occurrence.",National,Portugal,PT,Universidade de Évora,Academic-Research,Public order and safety,Public order and safety n.e.c.,Pilot,2019,2021,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,,,,,,,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,Planning,Planning and Scheduling,Machine learning,,,,22/11/2023
PSTW-516,iLU: Advanced Learning in Urban Data with Situational Context for Optimizing Mobility in Cities,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,"The iLU project aims to: 1) consolidate the multiplicity of data sources on city mobility stored in the Plataforma de Gestão Inteligente de Lisboa (PGIL) and guarantee its real-time updatability; 2) discover actionable spatiotemporal patterns of mobility from such heterogeneous data sources, particularly non-trivial correlations between road traffic and situational context data; 3) anticipate traffic congestion using advanced and integrative predictive models; 4) real-time support of mobility decisions through the use of deep reinforcement learning to positively condition the city traffic by, for instance, controlling traffic lights and road message panels.",National,Portugal,PT,"Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa (INESC ID/INESC/IST/ULisboa)",Academic-Research,Economic affairs,Transport,Pilot,2019,2021,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2C,x,,,,x,,,,,,,,,,,,,,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,Planning,Optimisation,Machine learning,,,,22/11/2023
PSTW-517,PAMWater: Analytical and Predictive Models for Optimization of Multimunicipal Water Systems,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,"This project aims to conceive and develop deep learning models to create a predictive and analytic platform for multimunicipal water systems so that they may become efficient, resilient and sustainable. Such platform, entitled as PAMWater, shall be used as a decision support system, allowing decision makers to have access to a vast set of descriptive and predictive information",National,Portugal,PT,Universidade do Minho,Academic-Research,Housing and community amenities,Water supply.,Pilot,2020,2022,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,,,,,,,,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,Learning,Machine learning,Planning and Scheduling,Deep learning,,,22/11/2023
PSTW-518,MATISSE - Bivalve health: predictive and early warning system,https://run.unl.pt/handle/10362/125029,"Harmful algal blooms (HABs) are among the most severe ecological marine problems worldwide. Under favorable climate and oceanographic conditions, toxin-producing microalgae species may proliferate, reach increasingly high cell concentrations in seawater, accumulate in shellfish, and threaten the health of seafood consumers. There is an urgent need for the development of effective tools to help shellfish farmers to cope and anticipate HAB events and shellfish contamination, which frequently leads to significant negative economic impacts. Statistical and machine learning forecasting tools have been developed in an attempt to better inform the shellfish industry to limit damages, improve mitigation measures and reduce production losses. This study presents a synoptic review covering the trends in machine learning methods for predicting HABs and shellfish biotoxin contamination, with a particular focus on autoregressive models, support vector machines, random forests, probabilistic graphical models, and artificial neural networks (ANN). Most efforts have been attempted to forecast HABs based on models of increased complexity over the years, coupled with increased multi-source data availability, with ANN architectures at the forefront to model these events. The purpose of this review is to help define machine learning-based strategies to support shellfish industry to manage their harvesting/production, and decision making by governmental agencies with environmental responsibilities.",National,Portugal,PT,Universidade Nova de Lisboa,Academic-Research,Environmental protection,Environmental protection n.e.c.,Pilot,2021,2023,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,,,,,,,,https://run.unl.pt/handle/10362/125029,Planning,Optimisation,Machine learning,,,,22/11/2023
PSTW-519,"GrassData - Identification, verification and quantification of CO2 sequestration in pastures",https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,The “GrassData” project aims to develop algorithms for monitoring and verifying compliance that automatically verify the results of practices that improve soil protection and carbon sequestration in pastures (such as bush management and the existence of harrows).,National,Portugal,PT,Associação do Instituto Superior Técnico para a Investigação e o Desenvolvimento,Academic-Research,Economic affairs,"Agriculture, forestry, fishing and hunting",Pilot,2020,2022,"Analysis, monitoring and regulatory research",Monitoring policy implementation,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,,x,,,x,x,,,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,Learning,Machine learning,Computer vision,,,,22/11/2023
PSTW-520,AI-4-MUFF - AI for the management of the degree of readiness in urban firefighting,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,"This project intends to develop a System for Supporting the Strategic Decision to Combat Urban Fires supported by empirical evidence, through the application of Machine Learning techniques, and the interconnection of multi-objective optimization models and agent-based simulation environment (Agent-based Model simulation).",National,Portugal,PT,NOVA.ID.FCT,Academic-Research,Public order and safety,Fire-protection services ,Pilot,2021,2023,Enforcement,Supporting inspection processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,,,,,,,,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,Reasoning,Automated reasoning,Machine learning,,,,22/11/2023
PSTW-521,RELIABLE - Building occupant risk warning panel during extreme weather events,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,The objective of the RELIABLE project is to develop a public geographic dashboard with real time information and high spatial resolution on the buildings occupants’ health risk during extreme weather events (EWE) - heat and cold waves,National,Portugal,PT,Associação do Instituto Superior Técnico para a Investigação e o Desenvolvimento,Academic-Research,Public order and safety,Public order and safety n.e.c.,Pilot,2020,2022,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2G,,,,,,,x,,,x,x,,,,,,,,https://arquivo.pt/wayback/20221230035605mp_/https://former.fct.pt/media/docs/Brochura_ResearchinDataScienceandAIappliedtoPA.pdf,Planning,Planning and Scheduling,Optimisation,,,,22/11/2023
PSTW-522,IVDP DATA+ - AI models for processing relevant data for the economy of the Douro Wine Region.,https://datamais.ivdp.pt/,The IVDP DATA+ project is based on the development of a new model of experimentation in close collaboration with the scientific community promoting knowledge transfer and adopting the advanced tools and techniques of artificial intelligence and data science. The implementation of the AI model will support decision-making based on the processing of existing data.,National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,Economic affairs,"Agriculture, forestry, fishing and hunting",Pilot,2019,2021,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2B,x,,,x,,x,,,,,,,,,,,,,https://datamais.ivdp.pt/,Planning,Planning and Scheduling,Machine learning,,,,22/11/2023
PSTW-523,i-Territory – Intelligent Modeling of Territorial Access to Services of General Interest,https://www.ama.gov.pt/web/agencia-para-a-modernizacao-administrativa/mais-ap,i-Territory – Intelligent Modeling of Territorial Access to Services of General Interest,National,Portugal,PT,AMA (Agência para a Modernização Administrativa),Central-Government,Environmental protection,Environmental protection n.e.c.,In development,2019,2021,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2G,,,,,,,x,,,x,,,,,,,,,,Planning,Planning and Scheduling,Machine learning,,,,22/11/2023
PSTW-524,SegnalaCI - Transparent management of citizen reports about City status,https://segnalazioni.comune.genova.it/,"The administration takes charge of the report, informs the competent office and resolves the problem (eg: repair the hole, empty the trash) .At the end of the procedure, the citizen receives a notification on the outcome of his report. Artificial Intelligence (Machine Learning) is used to elaborate gathered data and provide a smart dashboard to city administrators helping the staff and resource planning",Local,Italy,IT,Municipality of Genoa,Local Government,General public services,General services.,Implemented,2021,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,G2C,x,,,,x,,,,,,,,,,x,x,x,,https://smart.comune.genova.it/notizie/segnalaci,Planning,Planning and Scheduling,Machine learning,,,,22/11/2023
PSTW-525,Brain4it : monitoring the SmartCity,http://brain4it.org/project_vehicle_stats.html,"Brain4it is an open source software, an expert system,  designed by the City Council of Sant Feliu de Llobregat to automate the City-Os infrastructures management, as well as to develop other artificial intelligence (AI) applications for the Internet of Things. It runs as a network service that provides a REST API (Representational State Transfer Application Programming Interface) which allows to control and program the City-Os platform remotely using a functional language that facilitates the implementation of expert systems and machine learning applications. Likewise, it develops all those use cases that a Smart City may need, managing security, data governance and with a modular and adaptable orientation.",Local,Spain,ES,City Council of Sant Feliu de Llobregat,Local Government,General public services,General services.,Implemented,2021,,Internal management,Internal support processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,,,,,,,,https://joinup.ec.europa.eu/collection/joinup/solution/brain4it/about,Planning,Planning and Scheduling,Machine learning,,,,22/11/2023
PSTW-526,Deep Gravity: the algorithm that explains how people move,https://www.nature.com/articles/s41467-021-26752-4,"The traditional model used for the prediction of mobility flows, both on foot and with vehicles, is the so-called ""gravitational"". Inspired by Isaac Newton's law of universal gravitation, it establishes that the flow of mobility between two places, for example two neighborhoods of a city, is proportional to their population and inversely proportional to their geographical distance.In practice, the gravitational model is often inaccurate because it is based on only two variables, distance and population, and is unable to capture complex relationships between them. The Institute of Science and Information Technologies of the National Research Council (Cnr-Isti) together with the Bruno Kessler Foundation of Trento and the Argonne National Laboratory in the USA, has developed ""Deep Gravity"", an algorithm that adds to the gravitational model two fundamental ingredients, namely: the use of different variables that describe the points of interest in a place such as restaurants, hotels, hospitals and streets, and the ability to capture complex relationships between these variables thanks to the use of deep learning.",Across Countries,Italy,IT,ISTI-CNT (National Research Center),Academic-Research,General public services,General services.,Pilot,2021,,Public services and engagement,Service personalisation (various),No,Yes,Artificial Intelligence,G2C,x,x,x,,x,x,,,,,,,,,,,,,https://www.lescienze.it/news/2021/11/12/news/deep_gravity_l_algoritmo_che_spiega_come_si_muovono_le_persone-4981135/,Learning,Machine learning,Knowledge representation,Deep learning,,,22/11/2023
PSTW-527,FAITH - monitoring mental health with Artificial Intelligence - SPAIN Pilot,https://www.h2020-faith.eu/about/,"FAITH aims to provide an Artificial Intelligence application that identifies and analyses depression markers in people that have undergone cancer treatment. The pilot study will comprise 100 patients that are survival of breast cancer. They will be monitored to evaluate their quality of life and highlight possible aftercare needs, in order to provide better, personalized interventions. The information obtained will allow doctors and healthcare professionals to detect different disorders that would help to design protocols and standards of care for an early intervention, improving patient’s quality of life.",Across Countries,Spain,ES,"Hospital G.U. Gregorio Marañón | Madrid, Spain",Academic-Research,Health,R&D health.,Pilot,2020,2023,Public services and engagement,Service personalisation (various),Yes,No,Artificial Intelligence,G2C,x,x,,x,x,,,,,,,,,,,,,,https://www.h2020-faith.eu/about/,Planning,Planning and Scheduling,Knowledge representation,,,,22/11/2023
PSTW-528,FAITH - monitoring mental health with Artificial Intelligence - PORTUGAL Pilot,https://www.h2020-faith.eu/about/,"FAITH aims to provide an Artificial Intelligence application that identifies and analyses depression markers in people that have undergone cancer treatment. As a clinical partner, the Champalimaud Clinical Centre will involve 100 ambulatory, community dwelling, lung-cancer patients (of any type) with indication for oncological treatment over two years. All patients will receive psychological and cognitive assessments through psychosocial questionnaires, neuropsychological testing, and other constructs. The CCC will monitor them for 12 months after their first appointment, offering them intelligent post-cancer support.",Across Countries,Portugal,PT,"Champalimaud Centre for the Unknown | Lisbon, Portugal",Academic-Research,Health,R&D health.,Pilot,2020,2023,Public services and engagement,Service personalisation (various),Yes,No,Artificial Intelligence,G2C,x,x,,x,x,,,,,,,,,,,,,,https://www.h2020-faith.eu/about/,Planning,Planning and Scheduling,Knowledge representation,,,,22/11/2023
PSTW-529,FAITH - monitoring mental health with Artificial Intelligence - IRELAND Pilot,https://www.h2020-faith.eu/about/,"FAITH aims to provide an Artificial Intelligence application that identifies and analyses depression markers in people that have undergone cancer treatment. UPMC will be the main Irish pilot test trial site, focusing on breast cancer patients as the selected use case and target group for FAITH. UPMC recognizes that caring for the wellbeing and mental health of patients on treatment – and of those who have completed treatment – is just as important as providing advanced, high-quality clinical care. Combined with offering the most advanced oncology care to patients close to home, UPMC’s team of oncologists intends to offer the FAITH tool to patients to identify patients who would benefit from follow up care with their oncologist, GP, or referral to their local Cancer Support Centre",Across Countries,Ireland,IE,"UPMC | Waterford, Ireland",Academic-Research,Health,R&D health.,Pilot,2020,2023,Public services and engagement,Service personalisation (various),Yes,No,Artificial Intelligence,G2C,x,x,,x,x,,,,,,,,,,,,,,https://www.h2020-faith.eu/about/,Planning,Planning and Scheduling,Knowledge representation,,,,22/11/2023
