#,PSTW ID,Name,Website,"Geographical 
Extension",Country,Status,"Start
Year",Process Type,Application Type,PV - Internal,PV - External,PV - Relational
103,PSTW-786,Payments on Madrid's buses with blockchain,https://finance.yahoo.com/news/santander-brings-blockchain-payments-madrids-162918368.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubW9iaWxlcGF5bWVudHN0b2RheS5jb20vbmV3cy9zYW50YW5kZXItZGVsaXZlcnMtYmxvY2tjaGFpbi1wYXltZW50cy10by1tYWRyaWQtcHVibGljLXRyYW5zc,Local,Spain,Pilot,2019,Public services and engagement,Payments and international transactions ,Security;,Efficiency; Transparency; Usability;,
104,PSTW-787,Enabling the transparent exchange of medical records,https://www.telegraph.co.uk/business/business-reporter/blockchain-trial-in-healthcare/,Local,United Kingdom,Pilot,2018,Public services and engagement,Data Sharing Management,Security;,Transparency; Flexibility; Efficiency; Usability; Enabling self-governance; ,
105,PSTW-788,Blockchain-based payment solutions,https://www.coindesk.com/markets/2018/02/20/regional-government-in-russia-to-test-blockchain-payments/,Regional,Russia,Pilot,2018,Public services and engagement,Payments and international transactions ,Cost-effectiveness; ,Transparency; Quality; Efficiency;,
106,PSTW-789,Validation of judicial expenses incurred during investigations,https://cointelegraph.com/news/french-cybercrime-division-uses-smart-contacts-on-tezos-blockchain?utm_source=Telegram&utm_medium=social,National,France,Pilot,2019,Public services and engagement,Payments and international transactions ,,Efficiency; Accountability; Trustworthiness; ,
107,PSTW-790,Blockchain-Based Training Certificates,https://cointelegraph.com/news/bavarian-government-to-issue-blockchain-based-training-certificates,Regional,Germany,Pilot,2019,Enforcement,Certification and validation processes,,Trustworthiness; Accountability; Usability; Quality; Efficiency; ,
108,PSTW-791,Copyright Management,https://cointelegraph.com/news/italian-copyright-authority-and-algorand-develop-blockchain-ecosystem-for-copyright-management,National,Italy,Pilot,2019,Adjudication,Managing Copyright and IPR ,Security; Scalability;,Openness; Efficiency; Usability; Transparency; Social cohesion; Trustworthiness;,
109,PSTW-792,Finding Waste Heat Spots,https://cointelegraph.com/news/austrian-government-backed-project-will-use-blockchain-to-find-waste-heat-spots,National,Austria,Pilot,2020,Public services and engagement,Payments and international transactions ,Security;,Sustainability; Trustworthiness; Competitiveness; Cooperativeness; Efficiency;,Citizen involvement;
110,PSTW-793,Health Certificates To Address Lockdowns,https://www.the-blockchain.com/2020/05/05/covid-19-swiss-company-Proof of Concepting-blockchain-based-health-certificates-to-address-lockdowns/,National,Switzerland,Pilot,2020,Enforcement,Certification and validation processes,Security; Compliance with the law; Effectiveness;,Trustworthiness; Accountability; Protecting citizen privacy;,
111,PSTW-794,Medical Data Management,https://cointelegraph.com/news/cyprus-hospital-to-deploy-dlt-based-medical-data-management,National,Cyprus,In development,2020,Public services and engagement,Data Sharing Management,Efficiency; Cooperativeness; ,Enabling self-governance; Protecting citizen privacy; Trustworthiness;,
112,PSTW-795,Tax Payments with bitcoins in the City of Zermatt,https://cointelegraph.com/news/city-of-zermatt-switzerland-now-accepts-tax-payments-in-bitcoin,Local,Switzerland,Implemented,2020,Public services and engagement,Payments and international transactions ,,Flexibility; Efficiency;,
113,PSTW-796,Blockchain-based union card,https://en.cryptonomist.ch/2020/02/21/trade-unions-blockchain-card-italy/,National,Italy,Pilot,2020,Enforcement,Certification and validation processes,Security;,Protecting citizen privacy; Trustworthiness; Accountability;,Citizen involvement; Improve the dialogue;
114,PSTW-797,Traceability of meat and milk,https://startupitalia.eu/65172-20200210-agroalimentare-la-lombardia-lancia-la-sua-blockchain,Regional,Italy,Pilot,2020,Public services and engagement,Tracking of goods and assets along the supply chain ,Security; Compliance with the law; ,Accountability; Usability; Efficiency; Trustworthiness; Transparency;,Improve the dialogue;
115,PSTW-798,Digital baccalaureate diplomas,https://www.blockchain4innovation.it/esperti/nascono-i-primi-diplomi-di-maturita-digitali-certificati-dalla-tecnologia-blockchain/,Local,Italy,Pilot,2020,Enforcement,Certification and validation processes,,Accountability; Enabling self-governance; Trustworthiness; Efficiency;,
116,PSTW-799,uPort decentralised identity,https://www.technologyreview.com/2017/09/05/149330/how-blockchain-is-kickstarting-the-financial-lives-of-refugees/,National,Finland,Implemented,2017,Public services and engagement,Payments and international transactions ,Security; ,Trustworthiness; Accountability; Social cohesion;,
117,PSTW-800,Online services for managing personnel salary accounts,http://www.sunfishproject.eu/sunfish/use-cases/,National,Italy,Pilot,2015,Internal management,Internal management processes,Security; Cooperativeness;,Trustworthiness; Protecting citizen privacy; Efficiency;,
118,PSTW-801,Use of Public Cloud PaaS to host SaaS and/or to integrate with commercial SaaS solutions,http://www.sunfishproject.eu/sunfish/use-cases/,National,Malta,Pilot,2015,Public services and engagement,Data Sharing Management,Security; Compliance with the law; Cooperativeness;,Trustworthiness; Protecting citizen privacy; Efficiency;,
119,PSTW-802,Organised Crime Unit: Secure Cloud Storage for Data,http://www.sunfishproject.eu/sunfish/use-cases/,National,United Kingdom,Pilot,2015,Public services and engagement,Data Sharing Management,Cooperativeness; Security;,Usability; Trustworthiness; Protecting citizen privacy; Efficiency; Effectiveness;,
120,PSTW-803,E-Voting for Political Party primary elections,https://cointelegraph.com/news/ruling-russian-political-party-launches-blockchain-based-e-voting,National,Russia,Pilot,2019,Public services and engagement,Governance and voting ,,Transparency; Efficiency;,Democracy;
121,PSTW-804,Corporate Registry in commercial court,https://cointelegraph.com/news/french-court-clerks-to-use-ibm-blockchain-platform-for-corporate-registry,National,France,Pilot,2019,Enforcement,Registration and data notarisation processes,,Transparency; Efficiency; Flexibility;,
122,PSTW-805,Verifiable and tamper-proof university degree,https://www.corrierecomunicazioni.it/digital-economy/certificazioni-di-laurea-4-0-con-la-bockchain/,Local,Italy,Implemented,2019,Enforcement,Certification and validation processes,Security;,Efficiency; Enabling self-governance; Accountability; Flexibility; Trustworthiness;,
123,PSTW-806,Smart Working management with blockchain in the Municipality of Bari,https://www.blockchain4innovation.it/mercati/legal/smart-contract/un-poc-per-sfruttare-la-blockchain-al-servizio-dello-smart-working/,Local,Italy,Pilot,2019,Internal management,Internal management processes,Security; Integrity;,Transparency; Efficiency; Trustworthiness; Protecting citizen privacy; Accountability;,
124,PSTW-807,Verification of the authenticity of university degrees,https://cointelegraph.com/news/swiss-university-fights-fake-diplomas-with-blockchain-technology,Local,Switzerland,Pilot,2019,Enforcement,Certification and validation processes,Security;,Efficiency; Accountability; Usability;,
125,PSTW-808,Flexible energy demand through blockchain,https://www.repubblica.it/economia/rapporti/energitalia/storie/2019/10/02/news/bologna_diventa_smart_con_la_prima_comunita_energetica-237490328/,Local,Italy,Pilot,2019,"Analysis, monitoring and regulatory research",Prediction and planning ,,Flexibility; Sustainability; Social cohesion;,
126,PSTW-809,Enhancing intermodal freight movements in Marseille,https://www.themeditelegraph.com/en/shipping/2019/11/09/news/marseille-completes-blockchain-Proof of Concept-scheme-1.38052980,National,France,Pilot,2019,Public services and engagement,Data Sharing Management,,Efficiency; Enabling self-governance; Trustworthiness; Competitiveness;,
127,PSTW-810,University certificates verification in many Spanish Universities,https://coinrivet.com/university-certificates-in-spain-blockchain/,National,Spain,Pilot,2020,Enforcement,Certification and validation processes,Security;,Accountability; Efficiency; Trustworthiness; Usability;,
128,PSTW-811,Verification of COVID-19 testing with blockchain in Austria,https://www.coindesk.com/business/2020/06/17/austrian-government-funds-development-of-blockchain-based-covid-19-app/,National,Austria,Pilot,2020,Public services and engagement,Data Sharing Management,Security; Integrity;,Transparency; Enabling self-governance; Trustworthiness;,
129,PSTW-812,Loans and insurance services requests simplification,https://www.agendadigitale.eu/cittadinanza-digitale/blockchain-nella-pa-per-erogare-nuovi-servizi-lesperienza-del-mef/,National,Italy,Pilot,2019,Internal management,Financial management and support ,Efficiency; Cooperativeness; Security; Compliance with the law;  Accountability to government; Facilitating Access; Compliance with the law;,,
130,PSTW-813,Entrepreneur Passport,https://dutchblockchaincoalition.org/en/use-cases-2/onderwijs-certificaten-en-diplomas-3-2-2,National,Netherlands,Planned,2021,Enforcement,Registration and data notarisation processes,Security; Compliance with the law; Cooperativeness;,Trustworthiness; Accountability; Efficiency; Enabling self-governance;,
131,PSTW-814,CarriŠre Wallet,https://dutchblockchaincoalition.org/en/use-cases-2/carri%C3%A8re-wallet,National,Netherlands,Pilot,2021,Enforcement,Certification and validation processes,Security; Cost-effectiveness; Efficiency;,Enabling self-governance; Efficiency; Trustworthiness;,
132,PSTW-815,uNLock the world,https://dutchblockchaincoalition.org/en/use-cases-2/unlock,National,Netherlands,Pilot,2020,Public services and engagement,Data Sharing Management,Security; ,Trustworthiness; Accountability; Enabling self-governance;,
133,PSTW-816,My pension rights transfer,https://dutchblockchaincoalition.org/en/use-cases-2/onderwijs-certificaten-en-diplomas-4,National,Netherlands,Pilot,2021,Public services and engagement,Service integration (various),Security; Cooperativeness; Adaptability; Efficiency; Cost-effectiveness; ,Efficiency; Effectiveness; Flexibility; Usability; Enabling self-governance;,
134,PSTW-817,Electronic bill of lading (eBL),https://www.portofrotterdam.com/en/news-and-press-releases/singapore-and-rotterdam-successfully-complete-trial-with-electronic-bill-of,Across Countries,Netherlands,Pilot,2021,Public services and engagement,Tracking of goods and assets along the supply chain ,Cooperativeness; Compliance with the law; Efficiency; Cost-effectiveness; Security; ,Efficiency; Transparency;,
135,PSTW-818,Energy trading platform,https://www.ledgerinsights.com/german-government-backs-build-of-blockchain-energy-trading-platform-best/,National,Germany,Pilot,2021,Public services and engagement,Supporting disintermediation ,Efficiency; Stability; Accountability to government; Compliance with the law; ,Sustainability; Trustworthiness; Flexibility; Enabling self-governance;,
136,PSTW-819,Privacy engine,https://opdrachten.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,National,Belgium,Pilot,2020,Public services and engagement,Data Sharing Management,Security; Compliance with the law; ,Protecting citizen privacy; Accountability; Trustworthiness;,
137,PSTW-820,Digital talent profile,https://opdrachten.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,Local,Belgium,Pilot,2020,Public services and engagement,Authentication of self-sovereign Digital ID services,Security; Cooperativeness; ,Effectiveness; Enabling self-governance;,
138,PSTW-821,European Social Security Pass,https://ec.europa.eu/social/main.jsp?catId=1545&langId=en,Across Countries,European Union,Pilot,2021,Public services and engagement,Service integration (various),Cooperativeness;,Accountability; Efficiency; Trustworthiness; Usability; Enabling self-governance; Protecting citizen privacy;,
139,PSTW-822,BIMChain: the blockchain application for managing BIM files,https://www.blockchain4innovation.it/mercati/logistica-e-trasporti/bimchain-lapplicazione-blockchain-per-la-gestione-dei-file-bim/,National,Italy,Pilot,2021,Public services and engagement,Data Sharing Management,Security; Cooperativeness; Integrity; Compliance with the law; ,Accountability; Efficiency; Trustworthiness; Usability; Transparency; Cooperativeness; Quality;,
140,PSTW-823,Diploma Notarization,https://www.ice.it/it/utilizzo-della-tecnologia-blockchain-la-notarizzazione-dei-diplomi-del-52deg-corce-f-de-franceschi,National,Italy,Pilot,2021,Enforcement,Certification and validation processes,Security; Compliance with the law; Integrity; ,Trustworthiness; Accountability; ,
141,PSTW-824,A blockchain platform for public administration,https://www.fortuneita.com/2021/04/16/una-piattaforma-blockchain-per-la-pubblica-amministrazione/,National,Italy,Pilot,2021,Enforcement,Registration and data notarisation processes,Security; ,Efficiency; Transparency; Accountability; Usability; Protecting citizen privacy;,
142,PSTW-825,Secure Digital Identities,https://www.ledgerinsights.com/deutsche-telekom-bosch-in-identity-project-backed-by-german-government-idunion/,National,Germany,Pilot,2021,Public services and engagement,Authentication of self-sovereign Digital ID services,,Enabling self-governance; Trustworthiness; Protecting citizen privacy;,
143,PSTW-826,"Private, institutional and non-profit blockchain network",https://it.cointelegraph.com/news/la-citta-di-lugano-presenta-la-propria-blockchain-privata-3achain,Local,Switzerland,Pilot,2021,Public services and engagement,Data Sharing Management,,Efficiency; Usability; Competitiveness; Openness; Trustworthiness;,
144,PSTW-827,National Green Pass,https://www.sanmarinoinnovation.com/press-reports/csmz8dn9habdorhrarr7rsrby515k7,National,San Marino,Implemented,2021,Enforcement,Certification and validation processes,Security; Integrity; Efficiency; Cooperativeness; Compliance with the law; ,Accountability; Usability; Trustworthiness; Protecting citizen privacy;,
145,PSTW-828,PlanetWatch: monitoring air quality,https://www.blockchain4innovation.it/start-up/planetwatch/,National,Italy,In development,2021,Public services and engagement,Data Sharing Management,Compliance with the law; Security; Scalability;,Enabling self-governance; Trustworthiness; Protecting citizen privacy; Openness;,Citizen involvement;
146,PSTW-829,Blockchain service infrastructure,https://www.blockchain4innovation.it/istituzioni-e-associazioni/ibsi-la-blockchain-al-servizio-dei-cittadini-e-del-sistema-italia/,National,Italy,In development,2021,Public services and engagement,Data Sharing Management,Security; Integrity; Efficiency; ,Efficiency; Transparency; Accountability; Usability; Protecting citizen privacy; Sustainability;,
147,PSTW-830,Blockchain to protect intellectual property,https://cointelegraph.com/news/russian-space-agency-uses-blockchain-to-protect-intellectual-property,National,Russia,Pilot,2021,Adjudication,Managing Copyright and IPR ,Security; Accountability to government;,Accountability; Cooperativeness; Trustworthiness;,Citizen involvement;
148,PSTW-831,Pharmaledger: blockchain enabled healthcare,https://pharmaledger.eu/,Across Countries,European Union,Pilot,2020,Public services and engagement,Data Sharing Management,Security; Compliance with the law; ,Trustworthiness; Accountability; Integrity; Cooperativeness; Enabling self-governance; Protecting citizen privacy; Transparency;,
149,PSTW-832,Public procurement: streamlined and faster digital procedures ,https://www.blockchain4innovation.it/mercati/pubblica-amministrazione/appalti-pubblici-proposta-rivoluzionaria-di-unionsoa-e-ibm-al-governo-con-la-blockchain-procedure-digital-piu-snelle-e-veloci/,National,Italy,Pilot,2021,Enforcement,Registration and data notarisation processes,Security; Compliance with the law; ,Efficiency; Transparency; Accountability; Usability; Trustworthiness;,
150,PSTW-833,Ecocoin: encouraging virtuous behavior,https://www.blockchain4innovation.it/tecnologie/premi-in-ecocoin-per-chi-ricicla-blockchain-e-iot-incentivano-i-comportamenti-virtuosi/,National,Italy,Pilot,2021,Public services and engagement,Payments and international transactions ,Cooperativeness;,Sustainability; Trustworthiness;  Enabling self-governance; Accountability;,Citizen involvement;
151,PSTW-834,Blockchain for emergency services,https://cointelegraph.com/news/polish-city-becomes-first-to-adopt-ethereum-blockchain-for-emergency-services,Local,Poland,Pilot,2020,Public services and engagement,Authentication of self-sovereign Digital ID services,Efficiency; Adaptability; Cooperativeness;,Efficiency;,
152,PSTW-835,Blockchain-based service to register digital acts at the Court of Cremona,https://www.blockchain4innovation.it/legal-2/giustizia-digitale-il-tribunale-di-cremona-sceglie-la-blockchain-di-stampiz/,Local,Italy,In development,2020,Enforcement,Registration and data notarisation processes,Security; ,Protecting citizen privacy; Trustworthiness; Accountability; Enabling self-governance; Transparency; Usability;,
153,PSTW-836,Digital credentials for graduates at University of Lille,https://www.bcdiploma.com/en/blog/digital-credentials-press-release-university-of-lille-project-2021-06-02,Regional,France,Implemented,2021,Enforcement,Certification and validation processes,Security; ,Trustworthiness; Accountability; Enabling self-governance; ,
154,PSTW-837,"EnergieKnip, Energy Wallet",https://energieknip.nl/en/,Local,Netherlands,Not in use anymore,2021,Public services and engagement,Payments and international transactions ,Cost-effectiveness; Security; Robustness; Compliance with the law; ,Sustainability; Enabling self-governance; Protecting citizen privacy; Usability; Transparency; Openness; Trustworthiness; Efficiency;,Citizen involvement; 
155,PSTW-838,Data Valorization Services,https://token-project.eu/use-cases/,Local,Spain,Pilot,2020,Public services and engagement,Data Sharing Management,Cost-effectiveness; Cooperativeness; Integrity; Security; Efficiency;,Efficiency; Transparency; Trustworthiness; Quality;,Citizen involvement;
156,PSTW-839,The red button: debt pause button,https://www.volkskrant.nl/nieuws-achtergrond/gun-de-schuldenaar-even-vrijaf-van-facturen-en-boetes-zeggen-schuldhulpverleners~b4921071/?referrer=https%3A%2F%2Fes.search.yahoo.com%2F,Local,Netherlands,Pilot,2020,Internal management,Financial management and support ,,Social cohesion; Trustworthiness; Enabling self-governance; Effectiveness;,
157,PSTW-840,Self Sovereign Attendancy,https://northsearegion.eu/media/16508/pilot-story-blockchainlab-drenthe-3.pdf,Local,Netherlands,Pilot,2021,Public services and engagement,Data Sharing Management,Compliance with the law; Security; Cooperativeness;,Trustworthiness; Accountability; Transparency; Fairness; Enabling self-governance; Protecting citizen privacy;,
158,PSTW-841,Generating Health Certificates,https://northsearegion.eu/media/16529/pilot-story-oldenburg.pdf,Local,Germany,Pilot,2021,Enforcement,Certification and validation processes,Security; Integrity; Scalability; Cost-effectiveness; Cooperativeness;,Protecting citizen privacy; Trustworthiness; Enabling self-governance; Usability; Efficiency;,
159,PSTW-842,Healthy on the Blockchain ,https://northsearegion.eu/bling/use-cases/use-case-6-city-of-roeselare-howest/,Local,Belgium,Pilot,2021,Public services and engagement,Data Sharing Management,Security; Integrity;,Accountability; Efficiency; Trustworthiness; Usability; Protecting citizen privacy; Enabling self-governance; ,
160,PSTW-843,Blockchain-based Mobiliti App,https://www.nieuwsblad.be/cnt/dmf20210607_94925367,Local,Belgium,Pilot,2021,Public services and engagement,Authentication of self-sovereign Digital ID services,Security;,Usability; Sustainability; Protecting citizen privacy;,
161,PSTW-844,Blockchain for Maritime Ports,https://northsearegion.eu/media/16677/logistics-in-ports-by-aalborg-university-denmark.pdf,Local,Denmark,Pilot,2020,Public services and engagement,Tracking of goods and assets along the supply chain ,,Quality; Efficiency; Usability; Effectiveness;,
162,PSTW-845,Transparent management of public accounts,https://token-project.eu/use-cases/,Local,Greece,Pilot,2020,Internal management,Procurement management,Cost-effectiveness; ,Transparency; Trustworthiness; Efficiency; Accountability;,Citizen involvement;
163,PSTW-846,ONCE project: Sovereign Data and Self Sovereign Identity,https://once-identity.de/,Regional,Germany,Pilot,2020,Public services and engagement,Authentication of self-sovereign Digital ID services,Compliance with the law; Cooperativeness; Security;,Cooperativeness; Enabling self-governance; Protecting citizen privacy; Trustworthiness; ,
164,PSTW-847,Cross-border erasmus exchange scenario,https://gataca.io/use-cases/education,Across Countries,European Union,Pilot,2021,Enforcement,Certification and validation processes,Cooperativeness; Security; Efficiency; ,Efficiency; Accountability; Usability; Trustworthiness;,
165,PSTW-848,European Student eCard with blockchain,https://www.aoc.cat/es/blog/2022/aoc-pilot-identitat-digital-comissio-europea/,Across Countries,European Union,Pilot,2021,Public services and engagement,Authentication of self-sovereign Digital ID services,Cooperativeness;,Flexibility; Trustworthiness; Enabling self-governance; Protecting citizen privacy; ,
166,PSTW-849,EQPR - CoE Refugee Passport,https://ec.europa.eu/digital-building-blocks/wikis/display/EBSI/EBSI+Demo+Day,Across Countries,European Union,Pilot,2021,Enforcement,Certification and validation processes,Security;,Social cohesion; Trustworthiness; Enabling self-governance; Effectiveness; Efficiency;,
167,PSTW-850,Cross-border micro-credentials,https://walt.id/case-studies/tampere-ktu,Across Countries,European Union,Pilot,2021,Public services and engagement,Authentication of self-sovereign Digital ID services,Compliance with the law; Cooperativeness; Security;,Trustworthiness; Accountability; Enabling self-governance; Openness; Flexibility; Protecting citizen privacy; ,
168,PSTW-851,Bachelor/Master Diploma Credential,https://ec.europa.eu/digital-building-blocks/wikis/display/EBSI/EBSI+Demo+Day,Across Countries,European Union,Pilot,2021,Enforcement,Certification and validation processes,Cooperativeness; ,Efficiency; Accountability; Usability; Trustworthiness; Enabling self-governance; ,
